"","JD","hw.reg","mid.reg","ms.reg"
"164",82.5,7.90439842395909,8.37951234824028,9.79096788581663
"165",83,6.51483281686777,6.49708293407887,8.24716343861369
"166",83.5,7.94786720977644,8.42661846837106,9.85526232474408
"167",84,6.55050160268511,6.5336550335911,8.30274787754114
"168",84.5,7.99133599559379,8.47372458850185,9.91955676367153
"169",85,6.58617038850246,6.57022713310333,8.35833231646859
"170",85.5,8.03480478141113,8.52083070863264,9.98385120259898
"171",86,6.61951677550169,6.60462939270775,8.41001055215209
"172",86.5,8.07102876959225,8.56008580874163,10.0374299017052
"173",87,6.65156316250093,6.63727598220908,8.46023712116892
"174",87.5,8.1144975554096,8.60719192887241,10.1017243406326
"175",88,6.68723194831827,6.67384808172131,8.51582156009637
"176",88.5,8.15796634122695,8.6542980490032,10.1660187795601
"177",89,6.72290073413562,6.71042018123354,8.57140599902382
"178",89.5,8.2014351270443,8.70140416913399,10.2303132184875
"179",90,6.75856951995297,6.74699228074577,8.62699043795127
"180",90.5,8.24490391286164,8.74851028926477,10.294607657415
"181",91,6.79423830577031,6.783564380258,8.68257487687872
"182",91.5,8.28837269867899,8.79561640939556,10.3589020963424
"183",92,6.82990709158766,6.82013647977023,8.73815931580617
"184",92.5,8.33184148449633,8.84272252952634,10.4231965352699
"185",93,6.86557587740501,6.85670857928246,8.79374375473362
"186",93.5,8.37531027031368,8.88982864965713,10.4874909741973
"187",94,6.90124466322235,6.89328067879469,8.84932819366107
"188",94.5,8.41877905613103,8.93693476978792,10.5517854131248
"189",95,6.9369134490397,6.92985277830692,8.90491263258852
"190",95.5,8.46224784194837,8.9840408899187,10.6160798520522
"191",96,6.97258223485705,6.96642487781915,8.96049707151597
"192",96.5,8.50571662776572,9.03114701004949,10.6803742909797
"193",97,7.0105734194925,7.00516681723918,9.01998771368737
"194",97.5,8.55643021121929,9.08610415020207,10.7553844697284
"195",98,7.04986460412796,7.04566442676231,9.08093002252544
"196",98.5,8.59989899703664,9.13321027033286,10.8196789086558
"197",99,7.08553338994531,7.08223652627454,9.13651446145289
"198",99.5,8.64336778285398,9.18031639046365,10.8839733475833
"199",100,7.12120217576266,7.11880862578677,9.19209890038034
"200",100.5,8.68683656867133,9.22742251059443,10.9482677865107
